City,Cloudiness, Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
nanortalik,100,GL,1570148354,72,60.14,-45.24,41.64,5.06
zhigansk,20,RU,1570148377,79,66.77,123.37,22.54,7.47
carnarvon,0,ZA,1570148377,37,-30.97,22.13,49.9,9.62
mataura,100,NZ,1570148378,60,-46.19,168.86,60.01,13.0
westport,90,US,1570148378,87,41.14,-73.36,59.0,11.41
waddan,51,LY,1570148379,79,29.16,16.14,71.43,11.16
ushuaia,40,AR,1570148379,56,-54.81,-68.31,44.6,13.87
mao,90,DO,1570148094,100,19.55,-71.08,82.4,3.36
victoria,75,BN,1570148105,94,5.28,115.24,75.2,2.24
busselton,94,AU,1570148380,60,-33.64,115.35,59.0,23.76
zambezi,45,ZM,1570148381,69,-13.55,23.12,66.05,6.78
barrow,100,AR,1570148381,60,-38.31,-60.23,44.56,11.34
micheweni,0,TZ,1570148382,81,-4.97,39.83,78.68,16.8
barahona,75,DO,1570148382,88,18.21,-71.1,82.4,13.87
dikson,100,RU,1570148329,87,73.51,80.55,28.23,22.28
ancud,0,CL,1570148365,75,-41.87,-73.83,46.4,8.05
praia da vitoria,20,PT,1570148383,77,38.73,-27.07,69.8,18.61
butaritari,100,KI,1570148384,71,3.07,172.79,82.48,6.91
laiyang,78,CN,1570148385,75,36.98,120.7,61.08,12.19
lebu,75,ET,1570148385,87,8.96,38.73,57.2,9.17
bluff,0,AU,1570148386,38,-23.58,149.07,72.38,7.61
punta arenas,75,CL,1570148386,70,-53.16,-70.91,42.8,11.41
romans-sur-isere,0,FR,1570148387,100,45.05,5.06,48.0,3.36
albany,90,US,1570148382,87,42.65,-73.75,50.0,4.7
clyde river,75,CA,1570148387,94,70.47,-68.59,33.8,13.87
bethel,90,US,1570148243,81,60.79,-161.76,48.2,16.11
new norfolk,75,AU,1570148388,44,-42.78,147.06,57.99,8.05
ribeira grande,20,PT,1570148388,83,38.52,-28.7,69.8,16.11
saint-augustin,90,CA,1570148389,65,45.63,-73.98,48.2,8.05
acajutla,40,SV,1570148280,100,13.59,-89.83,73.4,4.7
mahebourg,75,MU,1570148375,94,-20.41,57.7,73.4,14.99
hobart,75,AU,1570148391,44,-42.88,147.33,57.99,8.05
entre rios,6,BR,1570148391,98,-11.94,-38.08,68.48,3.74
kangaatsiaq,31,GL,1570148181,59,68.31,-53.46,43.38,16.87
jiexiu,98,CN,1570148393,73,37.02,111.92,63.49,6.17
barcelos,100,BR,1570148393,69,-0.97,-62.93,80.3,1.68
georgetown,0,GY,1570148157,78,6.8,-58.16,82.4,6.93
port-gentil,40,GA,1570148394,88,-0.72,8.78,78.8,10.29
rikitea,89,PF,1570148395,79,-23.12,-134.97,69.43,22.5
umea,90,SE,1570148395,69,63.83,20.26,35.6,11.41
miguel alves,27,BR,1570148396,73,-4.17,-42.89,77.57,6.51
angoche,56,MZ,1570148396,89,-16.23,39.91,72.78,3.15
maputo,0,MZ,1570148397,88,-25.97,32.57,64.4,2.24
karatau,24,KZ,1570148397,84,43.18,70.46,48.0,3.71
tuktoyaktuk,90,CA,1570148338,100,69.44,-133.03,35.6,6.93
khatanga,0,RU,1570148398,85,71.98,102.47,19.37,9.78
chokurdakh,100,RU,1570148398,93,70.62,147.9,25.65,3.49
kaitangata,94,NZ,1570148399,48,-46.28,169.85,61.0,10.0
hermanus,51,ZA,1570148400,79,-34.42,19.24,61.0,5.99
tecpan,75,GT,1570148400,88,14.76,-90.99,68.0,6.93
ponta do sol,0,BR,1570148401,41,-20.63,-46.0,71.36,3.67
port alfred,37,ZA,1570148401,82,-33.59,26.89,57.99,1.99
avarua,72,CK,1570148172,65,-21.21,-159.78,78.8,8.05
berlevag,95,NO,1570148402,77,70.86,29.09,39.73,15.59
west helena,1,US,1570148403,58,34.55,-90.64,86.0,4.7
praya,20,ID,1570148403,78,-8.71,116.27,80.6,11.41
kaduqli,100,SD,1570148404,71,11.01,29.72,75.68,4.81
christchurch,0,NZ,1570148348,58,-43.53,172.64,59.0,12.75
srednekolymsk,99,RU,1570148398,86,67.46,153.71,26.12,18.34
lavrentiya,100,RU,1570148164,98,65.58,-170.99,35.39,14.5
korgen,0,NO,1570148405,63,66.08,13.83,32.0,4.7
souillac,75,FR,1570148406,93,45.6,-0.6,59.0,8.05
sao filipe,95,CV,1570148406,82,14.9,-24.5,78.97,3.98
gabu,100,CN,1570148407,94,34.78,103.0,37.77,3.8
atuona,0,PF,1570148407,76,-9.8,-139.03,80.19,16.37
tiksi,100,RU,1570148407,90,71.64,128.87,22.32,26.24
faanui,49,PF,1570148408,79,-16.48,-151.75,78.34,16.31
alyangula,0,AU,1570148409,40,-13.85,136.42,87.8,17.22
tutoia,4,BR,1570148409,84,-2.76,-42.27,75.96,8.7
hudson bay,98,CA,1570148410,75,52.86,-102.4,42.11,3.83
orlovskiy,98,RU,1570148410,89,46.87,42.05,61.56,13.11
qaanaaq,91,GL,1570148411,58,77.48,-69.36,29.87,6.08
